benchmark,alg,best_total_cost,avg_time_sec,solution,optimal_value,diff,percent_diff
A-n53-k7.vrp,AntColonyAlgorithm,1192.8390647,2.4902544,"[1, 2, 5, 29, 23, 31, 45, 30, 50, 38, 3, 37, 51, 44, 24, 20, 16, 1] [1, 28, 36, 39, 19, 41, 27, 52, 1] [1, 32, 21, 7, 34, 4, 40, 26, 10, 8, 1] [1, 48, 42, 25, 12, 53, 14, 1] [1, 18, 35, 22, 15, 6, 1] [1, 13, 46, 49, 43, 33, 17, 1] [1, 11, 9, 47, 1]",1010,182.8390647031174,18.1028777
A-n54-k7.vrp,AntColonyAlgorithm,1328.3642376,2.5307169,"[1, 44, 5, 29, 6, 19, 8, 40, 51, 16, 1] [1, 31, 53, 17, 7, 33, 28, 15, 14, 1] [1, 35, 26, 48, 47, 43, 52, 25, 13, 3, 42, 1] [1, 24, 21, 36, 30, 50, 37, 2, 18, 27, 46, 1] [1, 11, 10, 34, 22, 45, 12, 1] [1, 32, 20, 9, 41, 49, 38, 1] [1, 39, 54, 4, 23, 1]",1167,161.36423758854835,13.8272697
A-n55-k9.vrp,AntColonyAlgorithm,1276.014809,2.6119345,"[1, 37, 22, 13, 33, 11, 6, 54, 41, 1] [1, 9, 30, 19, 49, 51, 55, 14, 28, 1] [1, 36, 10, 48, 17, 40, 50, 2, 1] [1, 26, 42, 29, 20, 23, 31, 1] [1, 38, 4, 18, 35, 34, 15, 5, 1] [1, 43, 32, 27, 47, 21, 8, 1] [1, 16, 12, 3, 52, 39, 1] [1, 46, 44, 7, 1] [1, 24, 53, 25, 45, 1]",1073,203.0148089580116,18.9202991
A-n60-k9.vrp,AntColonyAlgorithm,1603.1350197,2.833913,"[1, 42, 19, 34, 15, 48, 24, 35, 59, 1] [1, 17, 21, 4, 47, 41, 12, 22, 5, 7, 29, 1] [1, 26, 54, 31, 45, 50, 32, 3, 2, 20, 1] [1, 53, 60, 39, 8, 14, 28, 38, 1] [1, 25, 37, 55, 6, 23, 11, 43, 1] [1, 44, 57, 13, 52, 10, 33, 51, 1] [1, 36, 56, 16, 40, 27, 18, 30, 1] [1, 49, 46, 1] [1, 9, 58, 1]",1354,249.1350197315369,18.3999276
A-n61-k9.vrp,AntColonyAlgorithm,1177.1402396,2.8606118,"[1, 15, 8, 24, 20, 52, 40, 1] [1, 14, 51, 13, 23, 5, 27, 44, 34, 18, 1] [1, 10, 58, 53, 32, 12, 61, 45, 1] [1, 56, 43, 31, 4, 16, 25, 41, 1] [1, 48, 57, 28, 22, 30, 37, 21, 7, 42, 26, 1] [1, 33, 38, 46, 60, 3, 6, 47, 1] [1, 59, 9, 54, 50, 1] [1, 29, 2, 35, 49, 17, 36, 19, 1] [1, 39, 11, 1]",1034,143.14023963684235,13.8433501
A-n62-k8.vrp,AntColonyAlgorithm,1526.3021443,2.923395,"[1, 29, 16, 8, 21, 57, 49, 13, 54, 15, 6, 14, 1] [1, 52, 11, 9, 44, 30, 62, 7, 33, 35, 1] [1, 53, 37, 17, 38, 23, 45, 3, 39, 1] [1, 32, 61, 26, 12, 50, 36, 5, 22, 42, 24, 28, 46, 1] [1, 20, 19, 31, 2, 10, 55, 43, 56, 1] [1, 47, 48, 25, 40, 4, 1] [1, 51, 59, 18, 34, 27, 60, 1] [1, 41, 58, 1]",1288,238.30214431333115,18.5017193
A-n63-k10.vrp,AntColonyAlgorithm,1598.3848166,2.95268,"[1, 49, 37, 53, 44, 39, 21, 1] [1, 51, 63, 57, 30, 41, 26, 28, 36, 42, 46, 40, 1] [1, 32, 45, 48, 35, 12, 52, 59, 23, 22, 8, 1] [1, 18, 31, 5, 14, 27, 1] [1, 11, 60, 6, 20, 4, 43, 2, 15, 1] [1, 24, 47, 62, 1] [1, 29, 58, 33, 25, 38, 55, 1] [1, 19, 50, 16, 54, 17, 61, 1] [1, 3, 10, 13, 7, 9, 1] [1, 34, 56, 1]",1314,284.3848166107525,21.6426801
A-n63-k9.vrp,AntColonyAlgorithm,1833.8794188,3.0748534,"[1, 27, 20, 8, 26, 14, 61, 17, 11, 50, 49, 1] [1, 12, 34, 45, 16, 57, 1] [1, 22, 41, 15, 33, 56, 59, 51, 36, 54, 1] [1, 38, 58, 19, 2, 39, 10, 1] [1, 55, 30, 31, 3, 6, 46, 28, 1] [1, 4, 42, 43, 32, 44, 48, 47, 5, 53, 1] [1, 21, 62, 40, 24, 63, 52, 7, 1] [1, 35, 9, 60, 25, 37, 1] [1, 13, 29, 23, 18, 1]",1616,217.87941876958257,13.4826373
A-n64-k9.vrp,AntColonyAlgorithm,1684.7706129,2.9878684,"[1, 7, 26, 30, 46, 16, 12, 28, 8, 41, 1] [1, 11, 42, 57, 53, 14, 62, 25, 61, 17, 9, 47, 1] [1, 34, 49, 63, 1] [1, 43, 21, 52, 20, 24, 38, 1] [1, 33, 55, 6, 5, 35, 10, 54, 1] [1, 50, 40, 51, 15, 44, 13, 1] [1, 58, 18, 2, 29, 27, 36, 22, 45, 37, 32, 1] [1, 4, 31, 56, 60, 59, 3, 64, 48, 1] [1, 39, 19, 23, 1]",1401,283.7706129149494,20.2548617
A-n65-k9.vrp,AntColonyAlgorithm,1426.8061606,3.0483792,"[1, 52, 18, 40, 22, 26, 20, 53, 25, 62, 43, 33, 1] [1, 44, 50, 6, 46, 61, 31, 36, 1] [1, 63, 8, 12, 64, 55, 49, 58, 24, 1] [1, 47, 65, 7, 27, 32, 35, 48, 1] [1, 28, 16, 23, 10, 15, 4, 5, 1] [1, 56, 30, 19, 34, 2, 13, 14, 60, 1] [1, 38, 37, 51, 17, 3, 39, 1] [1, 29, 45, 57, 54, 1] [1, 59, 21, 41, 11, 9, 1]",1174,252.80616055043492,21.5337445
